fahod262,ID Tiktok,Tên Sản phẩm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cột màu vàng làm hàm import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Shopee,ID Tiktok,Tên Sản phẩm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TIKTOK (7N),,,,,,,,,,,,,,,TÀI CHÍNH SẢN PHẨM THÁNG 3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,SHOPEE (7N),,,,,,,,,SHOP TAB,,,LIVE,,,VIDEO,,,THẺ SẢN PHẨM,,,,,,,,,,Tăng trưởng,,,,,,,,,,,,,,,,
ID Shopee,ID Tiktok,Tên sản phẩm,SKU,Hình ảnh,Team,Trạng thái,Tồn hàng,Giá thu về SHP,Giá thu về TIKTOK,Giá kì vọng,Tổng bán 2 sàn 7N ,Xu hướng 60 ngày,X (30N),X (7N),Lượt truy cập,CTR,CR,,Xu hướng 60 ngày,X (30N),X (7N),View,CTR,CR,View,CTR,CR,View,CTR,CR,View,CTR,CR,,GMV SHP,GMV TTS,ADS SHOPEE,ADS TIKTOK,CHI PHÍ BOOKING,ROI tổng,Shopee,Tiktok,,,,,,,,,,,,,,,
43301404237,1731454652718482753,[Our Beloved Summer Collection] Áo Sơ Mi Oxford Dài Tay Oversized Form Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 AMD024,504KE1_AMD024_,,Team D,Bán hết cắt mẫu,0,206 268,206 206,"224,4 224.4",5,,3,4,733,"3,88%","2,31%",,,1,1,132,4.76%,2.04%,0,0.00%,0.00%,147,8.19%,0.00%,235,4.07%,2.23%,,16.687.927 đ,199.000 đ,443.191 đ,0 đ,,38,"27,66%","-31,43%",,,,,,,,,,,,,,,
26110887475,1731091355763771713,Set Áo Sweater 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Mix Cổ Sơ Mi Học Đường Hàn Quốc Năng Động,409NI1_ASWD078_,,Team D,SP đang bán,2898,"Áo: 199 - 259
Quần: 159 - 229
Set: 339 - 409","áo 199 259
cvay 159 229
set 339 409","Áo 200,88
Cvay 108",5,,10,4,1.278,"2,12%","1,06%",,,2,1,495,4.04%,0.54%,116,1.76%,1.92%,804,6.97%,0.35%,586,3.24%,0.38%,,90.419.305 đ,4.981.220 đ,1.718.275 đ,382.523 đ,,45,"-64,29%","-58,90%",,,,,,,,,,,,,,,
40251369391,1731451830157739329,[Our Beloved Summer Collection] Quần Short Ngắn Kẻ Cotton 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phong Cách Hàn Quốc Cơ Bản Cho Nữ QEN027,504CH1_QEN027_,,Team D,Bán hết cắt mẫu,0,145 186,145 145,"125,28 125,28",2,,2,1,1.076,"5,60%","0,68%",,,7,1,724,6.83%,0.00%,6,4.41%,0.00%,572,7.62%,0.46%,1.332,6.40%,0.33%,,8.676.695 đ,509.030 đ,306.119 đ,0 đ,,30,"-36,97%","-88,36%",,,,,,,,,,,,,,,
28416289592,1731174991610808641,Áo Giữ Nhiệt Cổ Tròn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ôm Body Dài Tay Chất Thun Gân Co Dãn Mềm Mịn Lót Lông Nhẹ,411ZI1_ANHD033_,,Team D,Bán hết cắt mẫu,0,"136 167
112 137:  xám logo/ đen logo",136 136,"136,4 136,4",1,,1,1,292,"3,43%","1,07%",,,0,0,11,1.06%,0.00%,0,0.00%,0.00%,0,0.00%,0.00%,32,1.39%,0.00%,,1.161.194 đ,228.000 đ,134.047 đ,0 đ,,10,"-42,08%","-100,00%",,,,,,,,,,,,,,,
26761280354,1731153302240856385,Áo Khoác Da Loang 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phối Túi Hộp Cao Cấp Phong Cách Retro Đường Phố,409PU1_AKHD011_,,Team D,SP đang bán,274,495 556,495 495,450 450,2,,3,1,793,"3,68%","0,37%",,,2,2,550,5.49%,0.94%,2,2.82%,0.00%,1.520,8.24%,0.40%,721,4.50%,0.98%,,38.111.923 đ,4.417.600 đ,1.122.396 đ,556.576 đ,,25,"-76,96%","-14,29%",,,,,,,,,,,,,,,
25002276160,1729897282305755457,Áo Nỉ Dài Tay Thể Thao Số 90 Phong Cách Đường Phố Âu Mỹ - Long Sleeve Oversize 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,311NI1_ASWD017_,,Team D,Bán hết cắt mẫu,0,230 280,230 230,"184,8 184,8",0,,0,0,100,"2,92%","0,00%",,,0,0,0,0.00%,0.00%,0,0.00%,0.00%,0,0.00%,0.00%,0,0.00%,0.00%,,820 đ,0 đ,0,0 đ,,,"-100,00%",,,,,,,,,,,,,,,,
29861985687,1731153312562710849,Áo Khoác Cổ Đứng  𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phong Cách Streetwear Unisex Nam Nữ,4092D1_AKHD075_,,Team D,SP đang bán,2824,250 300,250 300,"270 291,6",37,,20,9,3.051,"2,54%","0,93%",,,34,29,3.789,4.34%,2.42%,12,2.24%,0.00%,20.974,6.73%,0.91%,2.690,3.39%,2.46%,,99.235.400 đ,3.486.212 đ,3.350.954 đ,9.210.215 đ,,8,"-57,71%","-16,94%",,,,,,,,,,,,,,,
40854082870,1731643352150213953,[Our Beloved Summer Collection] Áo Babytee Cherry Co Dãn 4 Chiều Sweet Tee 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Mềm Mát Thấm Hút Mồ Hôi ABN036,504CO1_ABN036_,#N/A,Team D,Bán hết cắt mẫu,57,145 175,145 145,"126,4 126,4",0,,3,0,7,"14,29%","0,00%",,,0,0,0,0.00%,0.00%,0,0.00%,0.00%,0,0.00%,0.00%,0,0.00%,0.00%,,7.511.952 đ,0 đ,200.376 đ,0 đ,,37,"-100,00%","-100,00%",,,,,,,,,,,,,,,
29131666181,1731646257159374145,[Our Beloved Summer Collection] Áo Sơ Mi Cổ Sen Phối Ren Ember Shirt 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎  Tay Bí Trong Trẻo Mùa Hè AMN016,504TH1_AMN016_,,Team D,SP đang bán,1854,186 248,186 186,"157,68 157,68",58,,25,29,6.098,"7,21%","1,26%",,,19,29,5.282,6.90%,1.27%,26,6.22%,5.00%,21.787,9.18%,0.97%,3.185,5.36%,2.17%,,175.740.812 đ,3.600.435 đ,3.532.596 đ,6.365.439 đ,,18,"15,36%","54,62%",,,,,,,,,,,,,,,
42953734227,1731647338053403969,[Our Beloved Summer Collection] Quần Dài Ống Rộng Kẻ Xốp Bunny Pants 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phong Cách Cá Tính Unisex QTD017,504XO1_QTD017_,,Team D,SP đang bán,0,261 301,261 261,"255,96 255,96",4,,4,4,1.250,"5,04%","1,11%",,,1,1,259,6.42%,0.85%,1,3.33%,0.00%,294,11.56%,1.21%,666,5.61%,0.32%,,22.503.664 đ,231.000 đ,743.992 đ,136.844 đ,,26,"-1,70%","2,04%",,,,,,,,,,,,,,,
